Track Name,Artists,lyrics
YA YA,Beyoncé," Hello, girls ( Hello,  ) Hello, fellas ( You're pretty swell ) Those petty ones can't fuck with me   ( Why? ) 'Cause I'm a clever girl, we snappin' ( Pretty please )   Toms, please We wanna welcome you to the   Cowboy Carter Act II , ah And a rodeo chitlin circuit We gon' make it do what it do, ya-ya Put them hands together  We clappin' We drummin'   ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Oh, oh, ya-ya-ya ( Oh, ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Oh, ya-ya-ya-ya-ya-ya-ya-ya-ya-ya ( Oh, ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Ya-ya-ya-ya   ( Oh, ya ) (Ya-ya)   B-E-Y-I-N-C-E , ya  My family live and died in America, hm Good ol' USA, shit (Good ol' USA) Whole lotta red in that white and blue, huh History can't be erased, ooh You lookin' for a new America? (America) Are you tired, workin' time and a half for half the pay? (Woo-hoo) Ya-ya (Half the pay, oh-oh) I just pray that we don't crash, keep my Bible on the dash We gotta keep the faith Wildfire burnt his house down Insurance ain't gon' pay no Fannie Mae, shit So hold this holster, pour mo' liquor, please Hard workin' man ain't got no money in the bank Huh, the ya-ya Turn up the vinyl and the radio (Radio) He can't watch the news nowadays (Nowadays) Oh, I just pray that he don't crash, keep his pistol on the dash He gotta keep the faith Refrain She's pickin' up good vibrations He's lookin' for sweet sensations  Ladies? ( Yeah? ) Fuck it,   we shakin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) We swimmin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) We jerkin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) We twerkin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) You wanna touch it, don't you? ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Come get this genie in a bottle ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Come rub it, won't you? ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) I pop it ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) I walk it like I talk it ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) I got your spurs sparkin' ( Ya-ya-ya-ya-ya, ya-ya-ya-ya-ya-ya ) Ya-ya-ya-ya-ya, oh Post- Let loose Do what you do, baby, Good God  I don't wanna hear no ya-ya-ya-ya-ya-ya-ya-ya I got you daydreamin' Put your lips on my lips And strum me like a guitar La-la-la-la-la-la-la-la, you got me movin', boy You got me ooh-in', you might know what you're doin' (Ooh-ooh) Put them babies to bed (Oh-oh) We sweat out the sheets (Oh) Got you up all night and now you don't wanna leave I can soothe your pain, yeah When I'm long gone, you'll call my name, yeah World of Wind got you insane, yeah It's givin' me the faith"
Type Shit,Future & Metro Boomin & Travis Scott & Playboi Carti," Future Yeah, yeah, Pluto  Future I don't hang with rats, that's some new type shit Get a nigga whacked on the news type shit Sippin' drank and Actavis on some Screw type shit Just a sad ho runnin' through the crew type shit I got a bad bitch at home, voodoo type shit Take down Meg Thee Stallions by the group type shit  Future That's some thick shit, I just thought you knew type shit I just tricked off, I don't just usually do this type of shit Pockets racked up, all blue type shit Bunch of rich niggas, hoes get confused type shit Atlanta nigga, I live like Ted Turner type shit On camera, knockin' jaws loose typе shit I canceled her, kick hеr out the stu' type shit A silent hitter, I just keep it cool with you bitches A solid nigga, countin' dog food type shit Movin' through the city with your boo type shit She's ready to suck it up like soup type shit You goin' against the guys and you gon' lose type shit Pray to God they knock you out your shoes type shit (Type shit)  Travis Scott Pop it, pop it, right up out the blue type shit Put the Double O in a mood Serotonin, that's a cool type mix Oxycontin, mix it with balloons (Alright) East Atlanta feelin' like a zoo type mix (Open up) Shawty, shawty strippin', takin' shrooms Eatin' all the Percs, on some food type shit (Open up) Shawty make it work, 9-to-5 type shit (Open up) Eatin' all the Perkies, on some food type shit (Open up) Eatin' all the Perkies, on some food type shit (Going up) All the homies crushin' on some fool type— (Going up) Floodin' out the spot, it's like a pool type mix (Add it up) All the homies crushin' on some fool type shit (Going up) All the homies crushin' on some fool type— (Open up) Eatin' all the Perkies, on some food type shit Feelin' so high, I'm on the moon type shit Bridge Future, Playboi Carti & Travis Scott Kick the slow flow, jitsu type shit (Open it up, add it up) Red lock in my dreadlocks, I'm on bool type shit (Fuck it up, add it up) Cook a nigga up like food type shit (Fuck it up, fuck it up) Posted up with my dogs, Scooby Doo type shit (Fuck it up, woo)  3 Playboi Carti & Future She grippin' all on my balls, I gotta move type shit Diamonds, they cover my flaws, I'm actin' brand new type shit Hundred round drum, make it burst, soundin' like a nuke type shit All of my jeans is saggin', I think I'm over tight shit Put the ho down with the gang, now she think she my manager type shit Shawty thought she was the one, I will forever have a boss bitch The presi' set on me plain, I'm on some naked type shit Eighty-one thou' for the teeth, I still ain't smiling for this bitch This ho think she better than me? She on that IG model shit Shawty said I'm a superhero, so how the fuck I'ma hide from shit? Bitch give me dome in the back, she on her bobblehead type shit All I want is ass and titties, I ain't got no type, shit Sippin' on drank, Pluto, hold up Sippin' my drank, Metro Sittin' right here with my yayo type shit Might put some diamonds in my gloves, woah, on my Mike shit What the fuck y'all talking about bodies for? Y'all just type shit (Pluto)  Future I don't hang with rats, that's some new type shit (New type shit) Get a nigga whacked on the news type shit Sippin' drank and Actavis on some Screw type shit Just a sad ho runnin' through the crew type shit I got a bad bitch at home, voodoo type shit Take down Meg Thee Stallions by the group type shit  Playboi Carti, Future & Travis Scott Tags all over my shirt, uh, rockstar type shit (Open it up, open it up) Molly all in my dreads, uh, Rasta type shit (Open it up, open it up) 'Bout to take a ho to Turks, she a monster type shit (Type shit) She don't speak no English, money talk type shit She fuck me, ran her mouth 'cause I'm a boss type shit (Woo)"
we can't be friends (wait for your love),Ariana Grande," I didn't think you'd understand me How could you ever even try? I don't wanna tiptoe, but I don't wanna hide But I don't wanna feed this monstrous fire Just wanna let this story die And I'll be alright  We can't be friends But I'd like to just pretend You cling to your papers and pens Wait until you like me again Post- Wait for your love Lo-love, I'll wait for your love  Me and my truth, we sit in silence Mm Baby girl, it's just me and you 'Cause I don't wanna argue,  but I don't wanna bite My tongue, yeah, I think I'd rather die You got me misunderstood But at least I look this good"
Docket (feat. Bully),Blondshell & Bully," Blondshell, Bully & Blondshell I said, 'Don't shake my hand, it's wet,' He said, 'I'll kiss it instead' He said, 'I saw the whole show I'm not scared of the sweat' But I'm scared of the touching I have someone at home And I want his body more When he leaves me alone  Blondshell Isn't it wrong? When I'm gone I look around at the options I put men on the docket Give me a curse I caught a bug He should be with someone who’s more in love Not someone eating for free My worst nightmare is mе  Bully, Bully & Blondshell I always end up back here Stuck somеhow Obvious I’m powerless When you’re around And I don’t know why I see her in the sun Staring straight to the sky Burning me just for fun See upcoming rock shows Get tickets for your favorite artists You might also like I LUV IT Camila Cabello & Playboi Carti LEVII’S JEANS Beyoncé & Post Malone BODYGUARD Beyoncé  Bully & Blondshell Isn’t it wrong When I’m gone I look around at the options I put men on the docket Give me a curse I caught a bug He should be with someone who’s more in love Not someone eating for free My worst nightmare is me Bridge Blondshell, Bully & Blondshell Feeling like it’s twisted Feeling like he’s been fishing I should probably cut him loose instead of kissing I don’t wanna want what I haven’t got but it Kills the lull when I’m not full When I’m not full I fill the space with barbasol And I’m here and I’m fading You’re wrong for waiting And it’s cruel to let you love me I don’t want what I need  Bully & Blondshell Isn’t it wrong When I’m gone I look around at the options I put men on the docket Give me a curse I caught a bug He should be with someone who’s more in love Not someone eating for free My worst nightmare is me"
euphoria,Kendrick Lamar,"Part I  ​eurt si em tuoba yas yeht gnihtyrevE Euphoria Verse Them super powers gettin' neutralized, I can only watch in silence The famous actor we once knew is lookin' paranoid and now is spiralin' You're movin' just like a degenerate, every antic is feelin' distasteful I calculate you're not as calculated, I can even predict your angle Fabricatin' stories on the family front 'cause you heard  Mr. Morale A pathetic master manipulator, I can smell the tales on you now You'rе not a rap artist, you a scam artist with the hopes of being accеpted Tommy Hilfiger stood out, but FUBU never had been your collection I make music that electrify 'em, you make music that pacify 'em I can double down on that line, but spare you this time, that's random acts of kindness Know you a master manipulator and habitual liar too But don't tell no lie about me and I won't tell truths 'bout you Part II  Shoo, shoo, shoo Shoo, shoo, shoo Bee, bee, bee, bee, bee, bee"
Genesis.,RAYE,"Part I  They say the twenties are the best years of your life But I seem to be spending mine missing sunsets 'Cause I'm busy on my phone observing everyone else How I compare and obsess Just me, my phone, and these walls And I've been sober for some months But I can feel the demons waiting on my downfall Since I'm so ugly and irrelevant I've been losing friends as if I'm tryna get rid of them I Googled why I'm still desperatе for validation and sedatives, huh Callin' men who don't givе a fuck about me Then when my mother called I pretend I'm busy I'm tryna end up anywhere except from where I been Curtains closed, bed bound, amphetamines Mmm, and this devil on my shoulder, man, I'm tryna to shake him off My ex is on my timeline, it's as if he's showing off My self-esteem is Facetune and ring lights My ego is conquering new heights  I think I need some (Think I need some) Do you need some? (Do you need some?) Don't we all need some (We all need some) Light? (Let there be light) Da-da-da, da-da-da (There'll be light) I think I need some (Think I need some) I lied, I don't think I (Know I need some) I need some light (Some sweet sunshine) To feel alright (Please, let there be light) Part II  I see a sad little sinner in the mirror The devil works hard like my liver I don't wanna be alive, but I don't wanna die A fistful of pills, you're a nobody Post- Yeah (Uh-uh), yeah (Uh, uh-uh), yeah Yeah-yeah-yeah-yeah (Uh, uh-uh) (Let there be light) Yeah (Uh-uh), yeah (Uh, uh-uh), yeah Yeah-yeah-yeah-yeah  Bang-bang, that's depression at the door again You know he'll beat the door down till you let him in the room Since you are already acquainted, you skip the foreplay He grips you at the neck as you prepare to be screwed You try to muster a flare, to tell somebody you're sinking But anxiety is an index finger pressed to your lips A whiskey bottle, it whispers, since you're already bitter A cocktail fit for a quitter, 'Come here and give me a kiss'  I see a sad little sinner in the mirror The devil works hard like my liver I don't wanna be alive, but I don't wanna die A fistful of pills and rivers in my eyes I've got nothin' left to lose, dear God in the sky Hear my cry, hear my cry When it's too dark to see Let there be light, let there be light Let there be light  Post- Yeah (Uh-uh), yeah (Uh, yeah-yeah), yeah Yeah-yeah-yeah-yeah (Uh, uh-uh) (Let there be light) Yeah (Uh-uh), yeah (Uh, yeah-yeah), yeah Yeah-yeah-yeah-yeah (Uh, uh-uh)  Yes, I edit my pictures to make my waist look slimmer And make my ass look bigger so that I'm someone you aspire to Let me in your algorithm, please I know I'll only be important if I'm someone you would like, follow, share, and subscribe to If you're thirsty like me (Like me) Mix some pity with some self-hate Stir it up, then add twelve ounces of rosé That's how I make the glass half-empty and drink it down  3 Beneath the curse words and the insecurities Here lies a sorry little soul And she doesn't even know what to pray for Still just a heart-broke bitch But I traded the back of the nightclub, I did, for the bathroom floor I wish I could call my ex He would know just what to say (He don't say nothing at all now) Brings a tear to my eye The only thing I rely on him to do is stay declining my calls now  I see a sad little sinner in the mirror The devil works hard, like my liver I don't wanna be alive, but I don't wanna die A fistful of pills and rivers in my eyes I've got nothin' left to lose, dear God in the sky Hear my cry, hear my cry When it's too dark to see (Let there be light) Let there be light, let there be light Let there be light Bridge Little girls that have no self-esteem A little boy without a father tries to find him in the streets A girl I used to walk to school with Took her life, now rest in peace (Rest in peace) Fake democracy, killing overseas Killing ourselves, suicide Government lies, discrimination Hating ourselves Why hope? Why keep going? Why try? (Why?) Genesis one, verse three, I'll dry my eyes The only thing which darkness cannot coexist is the light  I see a sad little sinner in the mirror The devil works hard like my liver I don't wanna be alive, but I don't wanna die A fistful of pills and rivers in my eyes I've got nothin' left to lose, dear God in the sky Hear my cry, would you hear my cry? When it's too dark to see (Let there be light) Let there be light, let there be light Let there be light Part III  Yeah No, no, no I want that light, oh, ayy (Let there be light) Oh, let there be, oh Oh, that light  See, I want that light in my house (Oh, let there be light) I want that light in my car (Oh, let there be light) I want that light in my pain (Oh, let there be light) I want that light when it's dark, dark, da-dark Oh, no, let there be (Oh, let there be) Oh, let there be (Oh, let there be) Oh, li-light No, no, no, no, no, no, let there, let there be light  For all the fathers and the teachers (Working hard in the night) For all the builders and the cleaners (I pray, 'Let there be light') Oh, for all the farmers and the chefs and the train-drivers, yes The nurses and the doctors, God bless the NHS Let the pay rise, let the pay rise up Let there be li-li-li-light For all those overworked and underpaid and dreams of somewhere out of sight Let there be light Single mother, all alone (She's all alone) The baby's cryin' And she's cryin' tears too, to her sister on the phone Bring her comfort, bring her peace I pray Lord, please, yeah, yeah Bridge Da-da-doo, da-doo, da-doo, da-doo, doo-doo-doo, doo-doo-doo (Now that's what I'm talking about) Oh, let there be Lord, let there be Don't we all need a little?  See, I want that, that light in my house, (Oh, let there be light) I want that light in my car, yeah (Oh, let there be light) I want that light in my dreams, yeah, doo-de Oh, baby, light all the dark, yes Light up the dark, Lord (Oh, let there be light) Let there be light, Lord  Doo-doo-doo, doo-doo-doo, doo-doo-doo, doo-doo-doo Do-do-do, do-do-do, do-do-do Ooh, hey"
Disease,Lady Gaga," (Ah) (Ah)  There are no more tears to cry I heard you beggin' for life Runnin' out of medicine You're worse than you've ever been  (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah)  Poison on the inside I could be your antidote tonight (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah) Poison on the inside I could be your antidote tonight  I could play the doctor, I can cure your disease If you were a sinner, I could make you believe Lay you down like one, two, three Eyes roll back in ecstasy I can smell your sickness, I can cure ya (Cure) Cure your disease"
Juna,Clairo," Ooh-ooh, ooh Come to me slowly  It's when you talk close enough That I feel it on my skin, breathe it in Most of these days (Most of these days) I don't get too intimate Why would I let you in? (Why would I let you in?) But I think again  I don't even try I don't have to think With you, there's no pretending  You know me, you know me And I just might know you too, oh you Come to me ready  (You make me wanna) Go dancing (You make me wanna) Try on feminine (You make me wanna) Go buy a new dress (You make me wanna) Slip off a new dress"
Taste,Sabrina Carpenter," Oh, I leave quite an impression Five feet to be exact You're wonderin' why half his clothes went missin' My body's where they're at  Now I'm gone, but you're still layin' Next to me, one degree of separation  I heard you're back together and if that's true You'll just have to taste me when he's kissin' you If you want forever, and I bet you do Just know you'll taste me too Post- Uh-huh  He pins you down on the carpet Makes paintings with his tongue  (La-la-la-la-la-la-la) Hе's funny now, all his jokes hit different Guеss who he learned that from?  Now I'm gone, but you're still layin' Next to me, one degree of separation"
Gata Only,FloyyMenor & Cris Mj,"Letra de ""Gata Only""  Ey Refrán &   Mami, te siento lejo', dime dónde está' Te quiero chingar, te voy a raptar Déjate llevar, apaga el celular Que si está' conmigo no te va a pasar na' Solo déjate llevar Nena, atenta a la jugá' Que yo quiero contigo y tú quiere' conmigo ( Brr ) Dime si se da Coro Ba-Ba-Baby, dale, ponte pa' mí, follow me Tú ere', like, for me y yo 'toy pa' ti Gata, tú está' only, mándame tu ubi Mueve los cachete'  al ritmo del TikTok Conmigo esa gata se еscapó y en su casa nadie lo notó E' que conmigo la baby еsta noche la pasó cabrón Gata, pon el celu en modo avión Tú mi loca y  yo tu locotrón Tú te pone' pa' mí y yo por ti me tiro to'a la misión"
APT.,ROSÉ & Bruno Mars," 채영이가 좋아하는 랜덤 게임 랜덤 게임 Game start  아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh  Kissy face, kissy face Sent to your phone, but I'm tryna kiss your lips for real (Uh-huh, uh-huh) Red hearts, red hearts That's what I'm on, yeah Come give me somethin' I can feel, oh-oh, oh  Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the"
Diet Pepsi,Addison Rae," My boy's a winner, he loves the game My lips reflect off his cross   gold chain I like the way he's telling me My ass looks good in these ripped blue jeans My cheeks are red like cherries in the spring Body's a work of art you'd die to see  Untouched, XO Young lust , let's— (Ah)  When we drive in your car, I'm your baby  (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me  (Love me) Losing all my innocence in the backsеat When we drive in your car, I'm your baby (So sweet) Losing all my innocеnce in the backseat Say you love, say you love, say you love me  (Love me) Losing all my innocence in the backseat  Break all the rules 'til we get caught Fog up the windows in the parking lot Summer love (Ah, ah), sexy Sitting on his lap, sippin' Diet Pepsi I write my name with lipstick on your chest I leave a mark so you know I'm the best"
Angel Of My Dreams,JADE," I wonder if one day that you'll say that you care Hey, Mike, let's do somethin' crazy If you say you love me madly Refrain Angel of my dreams I will always love you and hate you, it's not fair It's so bittersweet I will always want you and need you, you don't care You don't Interlude Care You don't care You don't—  Care that I'm mad, care that I'm sad It's so bad, it's funny Care if I cry, care if I die You only care about money ( Money ) Sellin' my soul to a psycho They say I'm so lucky Better act like you're lucky, honey"
She's Leaving You,MJ Lenderman," You can put your clothes back on She's leaving you No time to apologize for the things you do Go rent a Ferrari And sing the blues Believe that Clapton was the second coming  It falls apart We all got work to do It gets dark We all got work to do She's leaving you She's leaving you  You said ""Vegas is beautiful at night"" And it's not about the money You just like the lights Though you know what is implied When your room is free You're feeling lucky  It falls apart We all got work to do It gets dark We all got work to do She's leaving you She's leaving you"
HISS,Megan Thee Stallion," I just wanna kick this shit off by sayin' fuck y'all I ain't gotta clear my name on a motherfuckin' thing Every time I get mentioned, one of y'all bitch-ass niggas get twenty-four hours of attention I'm finna get this shit off my chest and lay it to rest, let's go (And if the beat live) ( B-B-Bankroll Got It ) , ayy  I feel like Mariah Carey (Mariah Carey), got these niggas so obsessed (Damn) My pussy so famous, might get managed by Kris Jenner next (Mwah) He can't move on, can't let it go (Let it go), he hooked, nose full of that Tina Snow And since niggas need Megan help to make money, bitch, come be my ho (Ah) All of you bitches is weak, on the Bible (Weak, on the Bible), talkin' shit from where no one can find you I can never be judged by a bitch that was dancin', makin' R. Kelly go viral Ayy, I'm sexy as fuck, and I'm freaky (And I'm freaky), get whoever I want, eeny-meeny (Yeah) Why the fuck would I stay with a nigga that's weak in the sheets and don't know how to please me? Bodies on bodies on bodies on bodies Say he fucked Megan and now he the topic These niggas thinkin' they lowered the value All this free promo, I'm turnin' a profit Hate when a nigga be kissin' and tellin' (Tellin') Say he a player, but he in his feelings (What?) Bet I won't give up the pussy again Shit, should've gave it to his friend (Ayy) These hoes don't be mad at Megan, these hoes mad at Megan's Law I don't really know what the problem is, but I guarantee y'all don't want me to start Bitch, you a pussy (You a pussy), never finna check me (Yeah) Every chance you get, bet your weak ass won't address me (Ho) Bitches swear they G, but the G must stand for goofy (G must stand for goofy) When the fuck did all the gangster niggas turn to groupies? Everybody wanna kick it when you ain't a threat (Ain't a threat) These niggas don't like me 'cause they know I'm on they neck"
