,Track Name,Song Popularity,Album,Song Release Date,Duration (ms),Artists,Explicit,Song Rank,Artist ID,Genres,Followers,Popularity,Lyrics,Total Artists On Song,Lyrics Word Count,neg,neu,pos,compound,Simplified Genre,Ranking Group,Top 10 Song,Duration (ms)_transf,Followers_transf,Lyrics Word Count_transf
16,Disease,0.84,Disease,2024-10-25,229997.0,Lady Gaga,False,17,1HY2Jd0NmPuamShAr6KMms,"art pop, dance pop, pop",33312610,0.92," (Ah) (Ah)  There are no more tears to cry I heard you beggin' for life Runnin' out of medicine You're worse than you've ever been  (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah)  Poison on the inside I could be your antidote tonight (Ah-ah) Screamin' for me, baby (Ah-ah) Like you're gonna die (Ah-ah) Poison on the inside I could be your antidote tonight  I could play the doctor, I can cure your disease If you were a sinner, I could make you believe Lay you down like one, two, three Eyes roll back in ecstasy I can smell your sickness, I can cure ya (Cure) Cure your disease",1.0,112,0.17,0.716,0.114,-0.8659,Pop,11-20,0,0.4840370808735397,0.8831265730329537,0.6698828178132846
17,Juna,0.79,Charm,2024-07-12,195109.0,Clairo,False,18,3l0CmX0FuQjFxr8SK7Vqag,"bedroom pop, indie pop, pov: indie",5554851,0.82," Ooh-ooh, ooh Come to me slowly  It's when you talk close enough That I feel it on my skin, breathe it in Most of these days (Most of these days) I don't get too intimate Why would I let you in? (Why would I let you in?) But I think again  I don't even try I don't have to think With you, there's no pretending  You know me, you know me And I just might know you too, oh you Come to me ready  (You make me wanna) Go dancing (You make me wanna) Try on feminine (You make me wanna) Go buy a new dress (You make me wanna) Slip off a new dress",1.0,115,0.012,0.957,0.031,0.4881,Indie/Alternative,11-20,0,0.36039034662089264,0.7276029595801495,0.6735957602935322
18,Taste,0.92,Short n' Sweet,2024-08-23,157279.0,Sabrina Carpenter,False,19,74KM79TiuVKeVCqs8QtB0B,pop,16270682,0.94," Oh, I leave quite an impression Five feet to be exact You're wonderin' why half his clothes went missin' My body's where they're at  Now I'm gone, but you're still layin' Next to me, one degree of separation  I heard you're back together and if that's true You'll just have to taste me when he's kissin' you If you want forever, and I bet you do Just know you'll taste me too Post- Uh-huh  He pins you down on the carpet Makes paintings with his tongue  (La-la-la-la-la-la-la) Hе's funny now, all his jokes hit different Guеss who he learned that from?  Now I'm gone, but you're still layin' Next to me, one degree of separation",1.0,115,0.009,0.885,0.106,0.8998,Pop,11-20,0,0.1983894261345327,0.8209114465396213,0.6735957602935322
19,Gata Only,0.86,Gata Only,2024-02-02,222000.0,FloyyMenor,True,20,7CvTknweLr9feJtRGrpDBy,reggaeton chileno,1237241,0.84,"Letra de ""Gata Only""  Ey Refrán &   Mami, te siento lejo', dime dónde está' Te quiero chingar, te voy a raptar Déjate llevar, apaga el celular Que si está' conmigo no te va a pasar na' Solo déjate llevar Nena, atenta a la jugá' Que yo quiero contigo y tú quiere' conmigo ( Brr ) Dime si se da Coro Ba-Ba-Baby, dale, ponte pa' mí, follow me Tú ere', like, for me y yo 'toy pa' ti Gata, tú está' only, mándame tu ubi Mueve los cachete'  al ritmo del TikTok Conmigo esa gata se еscapó y en su casa nadie lo notó E' que conmigo la baby еsta noche la pasó cabrón Gata, pon el celu en modo avión Tú mi loca y  yo tu locotrón Tú te pone' pa' mí y yo por ti me tiro to'a la misión",2.0,141,0.015,0.967,0.017,0.0772,Latin,11-20,0,0.4574382276337907,0.5972127329920779,0.7022532360895906
20,APT.,0.98,APT.,2024-10-18,169917.0,ROSÉ,False,21,3eVa5w3URK5duf6eyVDbu9,k-pop,8735466,0.89," 채영이가 좋아하는 랜덤 게임 랜덤 게임 Game start  아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh 아파트, 아파트 아파트, 아파트 아파트, 아파트 Uh, uh-huh, uh-huh  Kissy face, kissy face Sent to your phone, but I'm tryna kiss your lips for real (Uh-huh, uh-huh) Red hearts, red hearts That's what I'm on, yeah Come give me somethin' I can feel, oh-oh, oh  Don't you want me like I want you, baby? Don't you need me like I need you now? Sleep tomorrow, but tonight, go crazy All you gotta do is just meet me at the",2.0,96,0.037,0.709,0.254,0.98,K-pop,21-30,0,0.25648081942618894,0.7669096067328608,0.6482481231666619
21,Diet Pepsi,0.86,Diet Pepsi,2024-08-09,169697.0,Addison Rae,False,22,4gvjmrtzydbMpyJaXUtwvP,social media pop,535846,0.75," My boy's a winner, he loves the game My lips reflect off his cross   gold chain I like the way he's telling me My ass looks good in these ripped blue jeans My cheeks are red like cherries in the spring Body's a work of art you'd die to see  Untouched, XO Young lust , let's— (Ah)  When we drive in your car, I'm your baby  (So sweet) Losing all my innocence in the backseat Say you love, say you love, say you love me  (Love me) Losing all my innocence in the backsеat When we drive in your car, I'm your baby (So sweet) Losing all my innocеnce in the backseat Say you love, say you love, say you love me  (Love me) Losing all my innocence in the backseat  Break all the rules 'til we get caught Fog up the windows in the parking lot Summer love (Ah, ah), sexy Sitting on his lap, sippin' Diet Pepsi I write my name with lipstick on your chest I leave a mark so you know I'm the best",1.0,178,0.078,0.616,0.306,0.9957,Pop,21-30,0,0.2555070355729363,0.5245596843001844,0.735065696735614
22,Angel Of My Dreams,0.68,Angel Of My Dreams,2024-07-19,197639.0,JADE,False,23,24b0qNYNgeOfpP5rbljIB3,None Listed,170123,0.6," I wonder if one day that you'll say that you care Hey, Mike, let's do somethin' crazy If you say you love me madly Refrain Angel of my dreams I will always love you and hate you, it's not fair It's so bittersweet I will always want you and need you, you don't care You don't Interlude Care You don't care You don't—  Care that I'm mad, care that I'm sad It's so bad, it's funny Care if I cry, care if I die You only care about money ( Money ) Sellin' my soul to a psycho They say I'm so lucky Better act like you're lucky, honey",1.0,109,0.243,0.492,0.265,0.6906,Other,21-30,0,0.3700739792424592,0.4249453916241689,0.6660699636381248
23,She's Leaving You,0.55,Manning Fireworks,2024-09-06,278226.0,MJ Lenderman,False,24,4tK6Z8fK7Sc9133byjPGIT,"asheville indie, countrygaze, slacker rock",73152,0.58," You can put your clothes back on She's leaving you No time to apologize for the things you do Go rent a Ferrari And sing the blues Believe that Clapton was the second coming  It falls apart We all got work to do It gets dark We all got work to do She's leaving you She's leaving you  You said ""Vegas is beautiful at night"" And it's not about the money You just like the lights Though you know what is implied When your room is free You're feeling lucky  It falls apart We all got work to do It gets dark We all got work to do She's leaving you She's leaving you",1.0,114,0.018,0.859,0.124,0.9042,Indie/Alternative,21-30,0,0.6271203940209631,0.3516686793746078,0.6723688908913215
24,HISS,0.62,HISS,2024-01-26,192818.0,Megan Thee Stallion,True,25,181bsRPaVXVlUKXrxwZfHK,"houston rap, pop, rap, trap queen",10005064,0.83," I just wanna kick this shit off by sayin' fuck y'all I ain't gotta clear my name on a motherfuckin' thing Every time I get mentioned, one of y'all bitch-ass niggas get twenty-four hours of attention I'm finna get this shit off my chest and lay it to rest, let's go (And if the beat live) ( B-B-Bankroll Got It ) , ayy  I feel like Mariah Carey (Mariah Carey), got these niggas so obsessed (Damn) My pussy so famous, might get managed by Kris Jenner next (Mwah) He can't move on, can't let it go (Let it go), he hooked, nose full of that Tina Snow And since niggas need Megan help to make money, bitch, come be my ho (Ah) All of you bitches is weak, on the Bible (Weak, on the Bible), talkin' shit from where no one can find you I can never be judged by a bitch that was dancin', makin' R. Kelly go viral Ayy, I'm sexy as fuck, and I'm freaky (And I'm freaky), get whoever I want, eeny-meeny (Yeah) Why the fuck would I stay with a nigga that's weak in the sheets and don't know how to please me? Bodies on bodies on bodies on bodies Say he fucked Megan and now he the topic These niggas thinkin' they lowered the value All this free promo, I'm turnin' a profit Hate when a nigga be kissin' and tellin' (Tellin') Say he a player, but he in his feelings (What?) Bet I won't give up the pussy again Shit, should've gave it to his friend (Ayy) These hoes don't be mad at Megan, these hoes mad at Megan's Law I don't really know what the problem is, but I guarantee y'all don't want me to start Bitch, you a pussy (You a pussy), never finna check me (Yeah) Every chance you get, bet your weak ass won't address me (Ho) Bitches swear they G, but the G must stand for goofy (G must stand for goofy) When the fuck did all the gangster niggas turn to groupies? Everybody wanna kick it when you ain't a threat (Ain't a threat) These niggas don't like me 'cause they know I'm on they neck",1.0,369,0.212,0.699,0.089,-0.9936,Pop,21-30,0,0.3515125363090945,0.7786915442987524,0.8379583415780127
25,Von dutch,0.74,BRAT,2024-06-07,164284.0,Charli xcx,True,26,25uiPmTg16RbhZWAqwLBy5,"art pop, candy pop, metropopolis, pop, uk pop",4579259,0.87,"Verse It's okay to just admit that you're jealous of me Yeah, I heard you talk about me, that's the word on the street You're obsessing, just confess it, put your hands up It's obvious I'm your number one  It's alright to just admit that I'm the fantasy You're obsessing, just confess it 'cause it's obvious I'm your number one, I'm your number one I'm your number one, yeah  I'm just living that life Von Dutch, cult classic, but I still pop I get money, you get mad because the bank's shut Yeah, I know your little secret, put your hands up It's so obvious I'm your number one, life Von Dutch, cult classic in your eardrums Why you lying?  You won't fuck unless he famous Do that littlе dance, without it, you'd be namelеss It's so obvious I'm your number one Post- I'm your number one, I'm your number one I'm your number one, yeah, it's so obvious I'm your number one, I'm your number one I'm your number one, yeah, it's so obvious",1.0,175,0.072,0.741,0.187,0.8412,Electronic/Experimental,21-30,0,0.23114129214010148,0.7108343814208563,0.7326706673703949
26,I Had Some Help (Feat. Morgan Wallen),0.83,F-1 Trillion,2024-08-15,178205.0,Post Malone,True,27,246dkjvS1zLTtiykXe5h60,"dfw rap, melodic rap, pop, rap",46018956,0.9," Post Malone You got a lotta nerve, don't you, baby? I only hit the curb 'cause you made me You're tellin' all your friends that I'm crazy Like I'm the only one Why'd you throw them stones if you Had a wild hair of your own or two? Livin' in your big glass house with a view I thought you knew  Post Malone I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, 'Teamwork makes the dream work' Hell, I had some help (Help) Post- Post Malone (Help)  Morgan Wallen You thought I'd take the blame for us a-crumbling Go 'round like you ain't guilty of somethin' Already lost the game that you been runnin' Guess it's catchin' up to you, huh You think that you're so innocent After all the shit you did I ain't an angel, you ain't heaven-sent Can't wash our hands of this  Morgan Wallen I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, 'Teamwork makes the dream work' Hell, I had some help (Help) Post- Post Malone (Help) (Help) (Help) Bridge Morgan Wallen, Post Malone & Both It takes two to break a heart in two, ooh Baby, you blame me and, baby, I blame you Aw, if that ain't the truth (Oh)  Post Malone & Morgan Wallen I had some help It ain't like I can make this kinda mess all by myself Don't act like you ain't help me pull that bottle off the shelf Been deep in every weekend if you couldn't tell They say, 'Teamwork makes the dream work' Hell, I had some help (Help)  Post- Post Malone (Help) (Help) (Help)",2.0,331,0.131,0.694,0.174,0.9558,Hip Hop/Rap,21-30,0,0.29227610409809657,0.9111807160075024,0.8226023165206368
27,Tough,0.77,Tough,2024-07-03,188828.0,Quavo,False,28,0VRj0yCOv2FXJNP47XQnx5,"atl hip hop, melodic rap, rap, trap",7613313,0.81," Tough like the scuff on a pair of old leather boots Like the blue-collar, red-dirt attitude Like a .38 made out of brass Tough like the stuff in your grandpa's glass Life's gonna do what it does Sure as the good Lord's up above I'm cut like a diamond shinin' in the rough Tough Tough  Quavo,  &  Come on, take a ride with me Like the 808s beatin' in the trunk in Atlanta, it was tough It was kinda hard for me Crawlin' through the mud, I couldn't find love, then we came  up Look at what we are, baby Standin' through the storm, still shinin' like a diamond in the rough Still shinin', and that's hard If you ever lost someonе that you  love  Through the pain, gotta show 'em, givе 'em light Still family if you're wrong or you're right No matter, we together It's not somethin' that you wanna do, it's just somethin' you goin' through",2.0,159,0.132,0.702,0.166,0.8873,Hip Hop/Rap,21-30,0,0.33579611369713014,0.7549720131703607,0.7191649736845735
28,TGIF,0.74,GLORIOUS,2024-10-11,164571.0,GloRilla,True,29,2qoQgPAilErOKCwE2Y8wOG,southern hip hop,1482038,0.83,"  On the gang, gang Huh, uh, uh, uh ( C haii's  har d ) Ayy  It's 7 p.m. Friday (Yup) It's ninety-five degrees (Woo) I ain't got no nigga and no nigga ain't got me  (Let's go) I'm 'bout to show my ass (Baow) These niggas love a freak (Uh) How the fuck is that your man (Huh?) If he right here with me? (The fuck? Ayy) Refrain Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo got that blicky (Ayy) Sixty thousand fans came to see me do my dance (Huh) Got a million and one haters, and they all can kiss my ass (Mwah)  Turnt up with my niggas (Ayy) Turnt up with my bitches (Ayy) Turnt up at my shows, yeah Cuzzo right here with me (Ayy, cuh) Off a fifth of Hen', yeah, gettin' fucked up with my twin Got a Backwood full of 'Za and a bankroll full of bands All that, all that Twitter typin', bitches see me and ain't do nothin' (Weak ass) Crop top with some bikers shorts, I'm showin' off my moose knuckle (Woo) I'm feelin' good today (Yeah) I'm outsidе with your bae (Uh-huh) Got a brown-skin nigga with dreads (Okay) And a black-ass nigga with waves (Lеt's go, ayy) He gon' drop that neck (Ayy) He love the way I sex (Ayy) Fake nails, bitches pressed (Ayy) So high, I'm damn-near wrecked (Ayy) I keep this pussy fresh (Ayy) Yeezy shirt, I'm wet (Ayy) Who want smoke? Say what? (Ayy) Ho, get that off your chest (The fuck?)",1.0,269,0.191,0.68,0.13,-0.9773,Hip Hop/Rap,21-30,0,0.23245319864781955,0.6128873163053353,0.793310559873447
29,Modern Woman,0.28,Going Through It,2024-01-19,249627.0,Eliza McLamb,True,30,5jy9tglmQRLmTmcqz2qyUa,gen z singer-songwriter,40384,0.38," I feel like a modern woman I get up late, I'm always saying ""Man, I gotta hit the DMV"" Always bills I'm paying I feel like shit in the afternoon 2pm is a wormhole into buying clothes on Instagram And standing in front of my fridge eating deli ham  If I could choose to be Free of modernity What would it make of me?  I want something to feel I want anything that's real I'll take whatever will hit me Just hit me hard, hit me hard, hit me hard I don't wanna be numb anymore I can't check out of what I am made for I waited forever to want it again And I want it, want it, want it, want it again  I feel like a modern woman An effortless, beautiful mess I'm crying in a way that's not pathetic You just wouldn't get it They love me when I am miserable 'Cause I'm super marketable Sad girl sings a simple song And all the others sing along",1.0,170,0.097,0.721,0.182,0.9222,Pop,21-30,0,0.5455956080550486,0.30008736984493134,0.7285867382921946
30,Company Culture,0.43,Company Culture,2024-09-17,182066.0,Lambrini Girls,True,31,6VR4TJ20WGiho2xZWMuuWb,None Listed,36730,0.46,"Verse Palatable, unthreatening, 'cause all men know better than me The glass ceiling ahead of me, so I’ll take a backseat Smile and ignore that my boss wants to fuck me The wandering eyes at all times in the office  Blondes have more fun in company culture Pretend that I know how to use a computer Harassed in the workplace My cold resting bitch face When will I learn that men just do it better? (Don’t touch mе) Verse Palatable, unthreatening, 'causе all men know better than me Yet human resources say I’m asking for it Look over my shoulder Indecent exposure My coworkers say I’ve got no sense of humour Smile and ignore that my boss wants to fuck me The wandering eyes at all times in the office Day on the job looking hot playing dumb When will I learn that men just do it better?",1.0,148,0.142,0.692,0.166,0.5351,Other,31-40,0,0.30838674000746025,0.2918532712996512,0.7090718553584131
31,Always and Forever (feat. Hannah Diamond),0.3,SOPHIE,2024-09-25,290127.0,SOPHIE,False,32,5a2w2tgpLwv26BYJf2qYwu,"art pop, bubblegum bass, deconstructed club, escape room, hyperpop, proto-hyperpop, transpop",544479,0.58," Everything's moving away Farther and farther away Tracing a light in the sky Tell me if you see it too Sometimes I just wanna fly Into the skies, into the light Transcending time  For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side  For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side Post- (For always and forever) (Forever and for always)  Everything's moving away Farther and farther away Tracing a light in the sky Tell me if you see it too Sometimes I just wanna fly Into the skies, into the light Transcending time  For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side For always and forever Forever and for always we'll be shining together And as the years go by you'll still be by my side  Transcending time (For always and forever)",2.0,225,0.0,1.0,0.0,0.0,Electronic/Experimental,31-40,0,0.6586018801398144,0.5259473422552573,0.7681035274903901
32,The Prophecy,0.76,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,2024-04-19,249807.0,Taylor Swift,False,33,06HL4z0CvFAxyc27GXpf02,pop,128001442,1.0," Two, one, two, three, four  Hand on the throttle Thought I caught lightning in a bottle Oh, but it's gone again And it was written I got cursed like Eve got bitten Oh, was it punishment? Pad around when I get home I guess a lesser woman would've lost hope A greater woman wouldn't beg But I looked to the sky and said  ""Please I've been on my knees Change the prophecy Don't want money Just someone who wants my company Let it once be me Who do I have to speak to About if they can redo the prophеcy?""  Cards on the table Mine play out likе fools in a fable Oh, it was sinking in (Sinking in, oh) Slow is the quicksand Poison blood from the wound of the pricked hand Oh, still I dream of him",1.0,139,0.115,0.734,0.151,0.7292,Pop,31-40,0,0.5461373851626234,0.9999999999999999,0.7002432374132701
33,Fisherrr - Remix,0.57,Fisherrr (Remix),2024-04-26,235354.0,Cash Cobain,True,34,2R0CFyeMDiRbfkhkIMbyl1,jersey club,133964,0.65," Cash Cobain & Bay Swag Got an attitude, but you bad as shit, so I ain't mad at you And you tatted too, what I gotta do to be havin' you? I play the avenue, top-five slizzy and a savage too And your ass fat, know you eat your rice and your cabbage too She a savage too, I'm a savage too, it's compatible She was talkin' practice, had to cut her off, got a badder boo I ain't chicken tender, if you fuck my brother, I ain't mad at you Fuckin' in the kitchen, we ain't even make it to the master room Met her in the trenches, swear she suck it different and she tatted too  Cash Cobain & Bay Swag And she independent, swear this bitch is different and she nasty too Yeah, my body different, when I'm off a yidda, I'm an animal And her body different, I'ma eat on that bitch like I'm Hannibal I'ma act a fool, I get active too, I'ma eat that pussy like an edible For sure, tss I'm off a Percocet, but lil' mami be poppin' that Adderall For sure, tss That pussy be perfect wet, when you in it, it feel like it's grabbing you For sure, tss I know they mad at you, but I had to do what I had to do For sure, tss She got an attitude, when she suck the dick, it's like she mad at you For sure  Ice Spice Got an attitude, but I'm feelin' lit, so I ain't mad at you And I'm tatted too and it's fatter too, I'm your baddest boo So what you 'bout to do? Top-one baddie and the jatty move And my ass fat 'cause I eat my oats and my vegetables And my pussy fat, and it's creamy, ooh, taste like Danimals I'm a baddie, so I know them other bitches ain't impressin' you And I been a baddie since a youngin, nigga, this ain't nothin' new Why these niggas in my face? Oh, because I'm rich and my money blue I don't care what niggas say 'cause I'm really paid, I'm untouchable Makin' bitches wanna hate, she see me and she get uncomfortable Make her nigga want a plate, say I'm pretty and sexy and munchable I don't wanna rush with you, got a crush on you, wanna bust on you Nigga got me in a mood, you don't fuck with me, then you fuck with who? And I brought a baddie too, she a wetty, ooh, givin' Betty Boop I ain't callin' you my boo, nigga, what? You thought I was feelin' you? For sure Interlude Cash Cobain, Bay Swag & Ice Spice She blow the dick like it was a flute For sure Pussy so good, I'm never dubbin' you For sure, tss We met at the Ritz Carl', not the W For sure You gon' make a baddie fall in love with you For sure Cash Cobain & Bay Swag Got an attitude, but you bad as shit, so I ain't mad at you And you tatted too, what I gotta do to be havin' you? I play the avenue, top-five slizzy and a savage too And your ass fat, know you eat your rice and your cabbage too She a savage too, I'm a savage too, it's compatible She was talkin' practice, had to cut her off, got a badder boo I ain't chicken tender, if you fuck my brother, I ain't mad at you Fuckin' in the kitchen, we ain't even make it to the master room Met her in the trenches, swear she suck it different and she tatted too",3.0,612,0.195,0.662,0.143,-0.9946,Electronic/Experimental,31-40,0,0.501342665823115,0.4041990313042231,0.9094985547875054
34,How Sweet,0.77,How Sweet,2024-05-24,219026.0,NewJeans,False,35,6HvZYsbFfjnjFrWF950C9d,"k-pop, k-pop girl group",9749710,0.82,"뉴진스 ""How Sweet"" 가사  Haerin,  Danielle  &  Minji  All I know is now 알게 됐어 나 (I know) 그동안 맨날 always up and down (No more) 생각 또 생각 spinnin' 'round and 'round Changing my mind 수상해서 그렇지 이런 헛소리  (No more) How it's supposed to be  그만해  'cause it's clear (It's simple)  It's like biting an apple Refrain Danielle Toxic lover, you're no better 거기 숨지 말고 얼른 나와 You little demon in my storyline Don't knock on my door, I'll see you out  Hanni,  Minji ,  Hyein  &  Danielle  And don't you know how sweet it tastes? (How sweet it tastes) Yeah, don't you know how sweet it tastes? (How sweet it tastes) Yeah, don't you know how sweet it tastes? Now that I'm without you 나 더는 묻지 않을래  (How sweet it tastes) 알려주지  않아도  돼  (How sweet it tastes) Wow, don't you know how sweet it tastes? Now that I'm without you",1.0,156,0.013,0.747,0.24,0.991,K-pop,31-40,0,0.44730122978532805,0.7764468282055838,0.7164828267814742
35,Never Lose Me (feat. SZA & Cardi B),0.65,"Fine Ho, Stay",2024-03-15,165754.0,Flo Milli,True,36,08PvCOlef4xdOr20jFSTPd,viral rap,1306114,0.74," Flo Milli Never had a bitch like me in your life You ain't never had a bitch like me in your life, uh Never had a bitch like me in your life You ain't never had a bitch like me in your life (Yeah)  Flo Milli He speed in the Wraith while his hand on my coochie (Yeah) He touchin' Emilio Pucci (Uh) Doin' good, bitch, I'm gucci (I'm good) Fly to Asia, he feedin' me sushi (Ooh) When we fuckin', it feel like a movie Raw bitch, ain't never been a groupie Stiff on a ho, I like my nigga bougie (Yeah) Tell me you don't never wanna lose me  SZA I ain't a bitch you hit up when you finally got work in the city Leave a trap on the 'net, only reason you reached out 'cause all of your friends think I'm so pretty Hypin' a bitch 'cause you're thinkin' 'bout that box tonight (Yeah) Baby, let's get lost tonight (Yeah) Hit me up, I'll blow your mind (Yeah, he) He speed in a Jeep with his hand on my booty (Booty) He touchin' on me, I get goofy (Yeah) From the 'burbs, actin' bougie From the 'burb but I suck it like Suki (Mmm) From the 'burb but I buss it like Juvie (Mmm) Throw it back while he talkin' me through it Stiff on your ho, your nigga been a groupie Told me he don't never wanna lose me (Oh yes, I know) I know  SZA, Flo Milli & Cardi B Tell me you don't never wanna lose me Tell me you don't never wanna lose me (Lose me, uh) Tell me you don't never wanna lose me Post- Cardi B Bitch could never be me in her life That bitch could never be me in her life Bitch could never be me in her life That bitch could never be me in her life  3 Cardi B You textin' his phone while his face in my coochie (Yeah) He like it when I make it juicy (Mwah) Yeah, I'm bad (Yeah), yeah, I do this Foot on ass, leave a shoeprint (Yeah) He love me, ain't no need for no groupies (Uh) Hit Miami, I'm struttin' my two-piece (Yeah) On the beach, actin' bad, we on Tubi (Uh) He don't never ever wanna lose me (No) Bridge Cardi B He don't never ever wanna lose me (No) He don't never ever wanna lose me (No) He don't never ever wanna lose me (No) He don't never ever wanna—, wait  4 Cardi B Pussy so good, make him do what I say (Do what I say) Make him do what I say Leg in the air like I'm doin' ballet Parkin' these niggas, I'm doin' valet (Skrrt) I was showin' my ass like a thirst trap (Thirst trap) Gotta buy me Chanel 'fore I flirt back (Yeah) I got a round ass, I don't think the Earth flat (No) Gotta make sure my shoes and my purse match Let me turn up my bad bitch (Bad bitch) Let me turn up they madness (Yeah) Can't see that I'm her? Need glasses (Glasses) She a fan, I'm feelin' fantastic (Uh) If a nigga lose me, he stupid (Stupid) Body good, I should be a nudist (Nudist) He wanna take me somewhere secluded (Yeah) With a private beach and masseuses, huh  Flo Milli & SZA He speed in the Wraith while his hand on my coochie (Yeah) Doin' good, bitch, I'm gucci (Speed in a Wraith with his hand on my) When we fuckin', it feel like a movie Be stiff on a ho, I like my nigga bougie Tell me you don't never wanna lose me Tell your new bitch here that you love all the optional Get that bag, these niggas so delusional Get all you want, get it all if you want",3.0,648,0.161,0.644,0.195,0.8645,Hip Hop/Rap,31-40,0,0.2378367703072204,0.6019161614314031,0.917585203747385
36,Darkest Hour (Helene Edit),0.49,Darkest Hour (Helene Edit),2024-10-04,247733.0,Eric Church,False,37,2IvkS5MXK0vPGnwyJsrEyV,"contemporary country, country, country road",3953833,0.72," If you were down in a gutter Where the homeless shudder, trying to shake off the snow If your tide was low, you lost your rudder I'd show you where to go If you were stuck out on the burning sand Hair on fire in a blinding gale I'd throw down a rope And pull you out of your hell Chrous In your darkest hour Baby, I'd come running (I'd come running) In your darkest hour I'd light your way Baby, don't give up (Don't give up) I'll do everything in my power To take even a minute of your darkest hour  Life can be a labyrinth A maze of moments, a pyramid of plans When all goes south, I'll bе your compass 'Til your needle spins you north again  In your darkest hour Baby, I'd come running (I'd comе running) In your darkest hour I'd light your way Baby, don't give up (Don't give up) I'll do everything in my power To take even a minute of your darkest hour",1.0,171,0.177,0.823,0.0,-0.9853,Country,31-40,0,0.5398711095899777,0.6980842231938652,0.7294129944569157
37,obsessed,0.76,GUTS (spilled),2024-03-22,170541.0,Olivia Rodrigo,True,38,1McMsnEElThX1knmY4oliG,pop,42042356,0.88," La, da-da-da, da-da-la, la-da-da-da-da La, da-da-da, da-da-da  If I told you how much I think about her You'd think I was in love And if you knew how much I looked at her pictures You would think we're best friends  'Cause I know her star sign,  I know her blood type I've seen every movie she's been in, and, oh, God, she's beautiful And I know you loved her, and I know I'm butthurt But I can't help it, no, I can't help it  I'm so obsessed with your ex (Uh-huh) I know she's been asleep on my side of your bed, and I can feel it I'm starin' at her like I wanna get hurt And I remember every detail you have evеr told me, so be careful, baby Post- I'm so obsеssed with your ex (Ah) Yeah, I'm so obsessed with your ex (Ah) La, da-da-da, da-da-da",1.0,149,0.091,0.781,0.128,0.5175,Pop,31-40,0,0.25923598022898986,0.9033339828744332,0.7100197019076296
